name,gu,address,longitude,latitude,_id,guId,,,,,
청담동,강남구,강남구 청담동,127.052135,37.52540984,63445ab0adb5727d4d008290,63441486be26106c41c6d732,,,,,
개포동,강남구,강남구 개포동,127.0617889,37.48242715,63445ab0adb5727d4d008291,63441486be26106c41c6d732,,,,,
역삼동,강남구,강남구 역삼동,127.0392152,37.49927697,63445ab0adb5727d4d008292,63441486be26106c41c6d732,,,,,
대치동,강남구,강남구 대치동,127.0657834,37.49885733,63445ab0adb5727d4d008293,63441486be26106c41c6d732,,,,,
삼성동,강남구,강남구 삼성동,127.0552961,37.51467025,63445ab0adb5727d4d008294,63441486be26106c41c6d732,,,,,
신사동,강남구,강남구 신사동,127.0227218,37.52881009,63445ab0adb5727d4d008295,63441486be26106c41c6d732,,,,name,동 이름
논현동,강남구,강남구 논현동,127.0312604,37.51415029,63445ab0adb5727d4d008296,63441486be26106c41c6d732,,,,gu,해당되는 자치구
압구정동,강남구,강남구 압구정동,127.0286102,37.5227125,63445ab0adb5727d4d008297,63441486be26106c41c6d732,,,,address,gu+name (위도 경도 검색용)
세곡동,강남구,강남구 세곡동,127.1114976,37.47170903,63445ab0adb5727d4d008298,63441486be26106c41c6d732,,,,longitude,경도
자곡동,강남구,강남구 자곡동,127.1015431,37.4765826,63445ab0adb5727d4d008299,63441486be26106c41c6d732,,,,latitude,위도
수서동,강남구,강남구 수서동,127.0983199,37.48551756,63445ab0adb5727d4d00829a,63441486be26106c41c6d732,,,,_id,해당 동 ObjectId
일원동,강남구,강남구 일원동,127.0827589,37.48789678,63445ab0adb5727d4d00829b,63441486be26106c41c6d732,,,,guId,해당되는 구 ObjectId
율현동,강남구,강남구 율현동,127.1114976,37.47170903,63445ab0adb5727d4d00829c,63441486be26106c41c6d732,,,,,
도곡동,강남구,강남구 도곡동,127.0443863,37.48785567,63445ab0adb5727d4d00829d,63441486be26106c41c6d732,,,,master 자료인만큼 DB에 같은 필드들로 들어가 있진 않음. 아래의 다큐멘트 이미지 참고. (API 공유예정),
고덕동,강동구,강동구 고덕동,127.1558632,37.56554267,63445ab0adb5727d4d00829e,6344186cbe26106c41c6d733,,,,,
명일동,강동구,강동구 명일동,127.1498051,37.5484065,63445ab0adb5727d4d00829f,6344186cbe26106c41c6d733,,,,,
길동,강동구,강동구 길동,127.1464359,37.53968838,63445ab0adb5727d4d0082a0,6344186cbe26106c41c6d733,,,,,
상일동,강동구,강동구 상일동,127.1696708,37.55083625,63445ab0adb5727d4d0082a1,6344186cbe26106c41c6d733,,,,,
둔촌동,강동구,강동구 둔촌동,127.1448377,37.52895416,63445ab0adb5727d4d0082a2,6344186cbe26106c41c6d733,,,,,
암사동,강동구,강동구 암사동,127.1301647,37.55775749,63445ab0adb5727d4d0082a3,6344186cbe26106c41c6d733,,,,,
미아동,강북구,강북구 미아동,127.0209401,37.62191076,63445ab0adb5727d4d0082a4,6344186cbe26106c41c6d733,,,,,
강일동,강동구,강동구 강일동,127.1696708,37.55083625,63445ab0adb5727d4d0082a5,6344186cbe26106c41c6d733,,,,,
천호동,강동구,강동구 천호동,127.127541,37.54312229,63445ab0adb5727d4d0082a6,6344186cbe26106c41c6d733,,,,,
번동,강북구,강북구 번동,127.0375597,37.62920563,63445ab0adb5727d4d0082a7,6344187ebe26106c41c6d734,,,,,
수유동,강북구,강북구 수유동,127.0048047,37.6370593,63445ab0adb5727d4d0082a8,6344187ebe26106c41c6d734,,,,,
성내동,강동구,강동구 성내동,127.128886,37.53044457,63445ab0adb5727d4d0082a9,6344187ebe26106c41c6d734,,,,,
우이동,강북구,강북구 우이동,127.0048047,37.6370593,63445ab0adb5727d4d0082aa,6344187ebe26106c41c6d734,,,,,
염창동,강서구,강서구 염창동,126.8498191,37.56794968,63445ab0adb5727d4d0082ab,63441a3ebe26106c41c6d735,,,,,
등촌동,강서구,강서구 등촌동,126.8615517,37.55196261,63445ab0adb5727d4d0082ac,63441a3ebe26106c41c6d735,,,,,
화곡동,강서구,강서구 화곡동,126.8441304,37.54216688,63445ab0adb5727d4d0082ad,63441a3ebe26106c41c6d735,,,,,
외발산동,강서구,강서구 외발산동,126.8169757,37.54871814,63445ab0adb5727d4d0082ae,63441a3ebe26106c41c6d735,,,,,
내발산동,강서구,강서구 내발산동,126.833258,37.55282787,63445ab0adb5727d4d0082af,63441a3ebe26106c41c6d735,,,,,
마곡동,강서구,강서구 마곡동,126.8302779,37.57010337,63445ab0adb5727d4d0082b0,63441a3ebe26106c41c6d735,,,,,
공항동,강서구,강서구 공항동,126.7874588,37.56622445,63445ab0adb5727d4d0082b1,63441a3ebe26106c41c6d735,,,,,
방화동,강서구,강서구 방화동,126.8134485,37.57731978,63445ab0adb5727d4d0082b2,63441a3ebe26106c41c6d735,,,,,
가양동,강서구,강서구 가양동,126.8498191,37.56794968,63445ab0adb5727d4d0082b3,63441a3ebe26106c41c6d735,,,,,
개화동,강서구,강서구 개화동,126.8064634,37.58660444,63445ab0adb5727d4d0082b4,63441a3ebe26106c41c6d735,,,,,
과해동,강서구,강서구 과해동,126.7874588,37.56622445,63445ab0adb5727d4d0082b5,63441a3ebe26106c41c6d735,,,,,
오곡동,강서구,강서구 오곡동,126.7841439,37.55339601,63445ab0adb5727d4d0082b6,63441a3ebe26106c41c6d735,,,,,
중곡동,광진구,광진구 중곡동,127.0875674,37.56301712,63445ab0adb5727d4d0082b7,63441a3ebe26106c41c6d735,,,,,
오쇠동,강서구,강서구 오쇠동,126.7995359,37.54356028,63445ab0adb5727d4d0082b8,63441a58be26106c41c6d736,,,,,
남현동,관악구,관악구 남현동,126.9799613,37.46306021,63445ab0adb5727d4d0082b9,63441a58be26106c41c6d736,,,,,
능동,광진구,광진구 능동,127.0826352,37.55113576,63445ab0adb5727d4d0082ba,63441a58be26106c41c6d736,,,,,
신림동,관악구,관악구 신림동,126.9346071,37.4630596,63445ab0adb5727d4d0082bb,63441a67be26106c41c6d737,,,,,
구의동,광진구,광진구 구의동,127.0873332,37.54355331,63445ab0adb5727d4d0082bc,63441a67be26106c41c6d737,,,,,
봉천동,관악구,관악구 봉천동,126.9569915,37.47505523,63445ab0adb5727d4d0082bd,63441a67be26106c41c6d737,,,,,
광장동,광진구,광진구 광장동,127.1047856,37.54773181,63445ab0adb5727d4d0082be,63441a67be26106c41c6d737,,,,,
자양동,광진구,광진구 자양동,127.0750916,37.53243087,63445ab0adb5727d4d0082bf,63441a67be26106c41c6d737,,,,,
화양동,광진구,광진구 화양동,127.0730799,37.54361035,63445ab0adb5727d4d0082c0,63441a67be26106c41c6d737,,,,,
군자동,광진구,광진구 군자동,127.073825,37.55327456,63445ab0adb5727d4d0082c1,63441a67be26106c41c6d737,,,,,
고척동,구로구,구로구 고척동,126.8629495,37.50242997,63445ab0adb5727d4d0082c2,63441a94be26106c41c6d738,,,,,
가리봉동,구로구,구로구 가리봉동,126.8880273,37.4830544,63445ab0adb5727d4d0082c3,63441a94be26106c41c6d738,,,,,
개봉동,구로구,구로구 개봉동,126.8560503,37.49466652,63445ab0adb5727d4d0082c4,63441a94be26106c41c6d738,,,,,
